Estación,fecha_hora,weekday,Hora,latitud,longitud,ruido_pred
Calle 106,2020-01-07 02:00:00,2,2,4.69280155,-74.05614686,40.7470258425297
Calle 106,2020-01-07 03:00:00,2,3,4.69280155,-74.05614686,41.5573618711427
Calle 106,2020-01-07 04:00:00,2,4,4.69280155,-74.05614686,43.47810108570005
Calle 106,2020-01-07 05:00:00,2,5,4.69280155,-74.05614686,49.56127419824905
Calle 106,2020-01-07 06:00:00,2,6,4.69280155,-74.05614686,53.22391589777098
Calle 106,2020-01-07 07:00:00,2,7,4.69280155,-74.05614686,53.51374682697917
Calle 106,2020-01-07 08:00:00,2,8,4.69280155,-74.05614686,53.36575290220105
Calle 106,2020-01-07 09:00:00,2,9,4.69280155,-74.05614686,53.25650229844879
Calle 106,2020-01-07 10:00:00,2,10,4.69280155,-74.05614686,53.47921495857526
Calle 106,2020-01-07 11:00:00,2,11,4.69280155,-74.05614686,53.62878821460817
Calle 106,2020-01-07 12:00:00,2,12,4.69280155,-74.05614686,53.775821396466945
Calle 106,2020-01-07 13:00:00,2,13,4.69280155,-74.05614686,53.953534331257025
Calle 106,2020-01-07 14:00:00,2,14,4.69280155,-74.05614686,54.0853683525872
Calle 106,2020-01-07 15:00:00,2,15,4.69280155,-74.05614686,54.05130062182491
Calle 106,2020-01-07 16:00:00,2,16,4.69280155,-74.05614686,53.83942302532821
Calle 106,2020-01-07 17:00:00,2,17,4.69280155,-74.05614686,53.60398294043631
Calle 106,2020-01-07 18:00:00,2,18,4.69280155,-74.05614686,53.18538987768748
Calle 106,2020-01-07 19:00:00,2,19,4.69280155,-74.05614686,53.07564437673601
Calle 106,2020-01-07 20:00:00,2,20,4.69280155,-74.05614686,51.303729242442536
Calle 106,2020-01-07 21:00:00,2,21,4.69280155,-74.05614686,50.69165479489682
Calle 106,2020-01-07 22:00:00,2,22,4.69280155,-74.05614686,49.37246387108011
Calle 106,2020-01-07 23:00:00,2,23,4.69280155,-74.05614686,47.245624657539466
Portal del Norte,2020-01-01 00:00:00,3,0,4.75447203,-74.04596522,47.968116515659126
Portal del Norte,2020-01-01 01:00:00,3,1,4.75447203,-74.04596522,46.433484644798504
Portal del Norte,2020-01-01 02:00:00,3,2,4.75447203,-74.04596522,46.13986853794755
Portal del Norte,2020-01-01 03:00:00,3,3,4.75447203,-74.04596522,47.51372571592706
Portal del Norte,2020-01-01 04:00:00,3,4,4.75447203,-74.04596522,53.32481629031498
Portal del Norte,2020-01-01 05:00:00,3,5,4.75447203,-74.04596522,56.940555877925156
Portal del Norte,2020-01-01 06:00:00,3,6,4.75447203,-74.04596522,57.94501836375058
Portal del Norte,2020-01-01 07:00:00,3,7,4.75447203,-74.04596522,57.88751905551407
Portal del Norte,2020-01-01 08:00:00,3,8,4.75447203,-74.04596522,57.595651541197576
Portal del Norte,2020-01-01 09:00:00,3,9,4.75447203,-74.04596522,57.266258780474665
Portal del Norte,2020-01-01 10:00:00,3,10,4.75447203,-74.04596522,57.330179514260955
Portal del Norte,2020-01-01 11:00:00,3,11,4.75447203,-74.04596522,57.35403117435715
Portal del Norte,2020-01-01 12:00:00,3,12,4.75447203,-74.04596522,57.41703877134108
Portal del Norte,2020-01-01 13:00:00,3,13,4.75447203,-74.04596522,57.647283165169206
Portal del Norte,2020-01-01 14:00:00,3,14,4.75447203,-74.04596522,57.67600141268117
Portal del Norte,2020-01-01 15:00:00,3,15,4.75447203,-74.04596522,57.62679051345209
Portal del Norte,2020-01-01 16:00:00,3,16,4.75447203,-74.04596522,57.51093601631117
Portal del Norte,2020-01-01 17:00:00,3,17,4.75447203,-74.04596522,57.37757489946355
Portal del Norte,2020-01-01 18:00:00,3,18,4.75447203,-74.04596522,56.89000911015646
Portal del Norte,2020-01-01 19:00:00,3,19,4.75447203,-74.04596522,56.6131270709673
Portal del Norte,2020-01-01 20:00:00,3,20,4.75447203,-74.04596522,56.25877875545615
Portal del Norte,2020-01-01 21:00:00,3,21,4.75447203,-74.04596522,55.564984166937315
Portal del Norte,2020-01-01 22:00:00,3,22,4.75447203,-74.04596522,54.5572668775399
Portal del Norte,2020-01-01 23:00:00,3,23,4.75447203,-74.04596522,52.38686142446013
Portal del Norte,2020-01-02 00:00:00,4,0,4.75447203,-74.04596522,47.92447689143589
