Estación;latitude;longitude;Variable;Hora;Valor_max;Valor_mean;Valor_min
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;7;92.0;59.07117794486223;12.6
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;8;91.7;58.77513784461156;13.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;9;90.7;58.28167487684735;14.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;10;90.6;58.100837438423696;14.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;11;90.9;58.37684729064055;16.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;12;91.2;58.24256157635468;15.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;13;90.4;58.52763636363646;15.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;14;90.4;58.43770408163268;16.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;15;91.4;58.38410389610405;16.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;16;90.3;58.49193877551017;15.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;17;90.3;58.29994805194804;15.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;18;90.5;57.64265306122444;13.1
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;19;89.3;56.87890909090917;9.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;20;88.8;56.41539682539685;16.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;21;88.7;55.39931216931207;14.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;22;88.2;53.77963636363635;11.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L50;23;86.8;51.03071428571426;8.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;0;82.0;38.707480519480534;4.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;1;82.4;37.0791992636907;2.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;2;79.8;35.83459543568469;2.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;3;80.7;38.49948132780084;2.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;4;82.8;45.45788381742739;6.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;5;87.8;53.42323651452282;10.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;6;89.2;55.58459543568474;13.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;7;89.7;55.38541353383459;8.7
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;8;89.2;55.083358395989855;9.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;9;88.1;54.579704433497575;10.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;10;87.8;54.43059113300488;10.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;11;87.9;54.64600985221687;11.4
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;12;87.9;54.5924137931034;11.3
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;13;87.7;54.894441558441585;10.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;14;87.8;54.880153061224426;12.0
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;15;88.2;54.7312727272727;11.5
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;16;87.6;54.84964285714293;10.8
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;17;87.7;54.76841558441556;10.2
CAI 7 de Agosto;4.6582300000000005;-74.077138;L90;18;87.7;54.01306122448991;9.3
